"ib","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.9127e+06,1,2.045e-07,2.045e-07,0,0
3.9028e+06,1,2.05e-07,2.05e-07,0,0
3.8929e+06,1,2.055e-07,2.055e-07,0,0
3.883e+06,1,2.06e-07,2.06e-07,0,0
3.8732e+06,1,2.065e-07,2.065e-07,0,0
3.8634e+06,1,2.07e-07,2.07e-07,0,0
3.8537e+06,1,2.075e-07,2.075e-07,0,0
3.844e+06,1,2.08e-07,2.08e-07,0,0
3.8343e+06,1,2.085e-07,2.085e-07,0,0
3.8247e+06,1,2.09e-07,2.09e-07,0,0
3.8151e+06,1,2.095e-07,2.095e-07,0,0
3.8055e+06,1,2.1e-07,2.1e-07,0,0
3.796e+06,1,2.105e-07,2.105e-07,0,0
3.7866e+06,1,2.11e-07,2.11e-07,0,0
3.7771e+06,1,2.115e-07,2.115e-07,0,0
3.7677e+06,1,2.12e-07,2.12e-07,0,0
3.7584e+06,1,2.125e-07,2.125e-07,0,0
3.7491e+06,1,2.13e-07,2.13e-07,0,0
3.7398e+06,1,2.135e-07,2.135e-07,0,0
3.7305e+06,1,2.14e-07,2.14e-07,0,0
3.7213e+06,1,2.145e-07,2.145e-07,0,0
3.7121e+06,1,2.15e-07,2.15e-07,0,0
3.703e+06,1,2.155e-07,2.155e-07,0,0
3.6939e+06,1,2.16e-07,2.16e-07,0,0
3.6849e+06,1,2.165e-07,2.165e-07,0,0
3.6758e+06,1,2.17e-07,2.17e-07,0,0
3.6668e+06,1,2.175e-07,2.175e-07,0,0
3.6579e+06,1,2.18e-07,2.18e-07,0,0
3.649e+06,1,2.185e-07,2.185e-07,0,0
3.6401e+06,1,2.19e-07,2.19e-07,0,0
3.6312e+06,1,2.195e-07,2.195e-07,0,0
3.6224e+06,1,2.2e-07,2.2e-07,0,0
3.6136e+06,1,2.205e-07,2.205e-07,0,0
3.6049e+06,1,2.21e-07,2.21e-07,0,0
3.5962e+06,1,2.215e-07,2.215e-07,0,0
3.5875e+06,1,2.22e-07,2.22e-07,0,0
3.5789e+06,1,2.225e-07,2.225e-07,0,0
3.5703e+06,1,2.23e-07,2.23e-07,0,0
3.5617e+06,1,2.235e-07,2.235e-07,0,0
3.5532e+06,1,2.24e-07,2.24e-07,0,0
3.5446e+06,1,2.245e-07,2.245e-07,0,0
3.5362e+06,1,2.25e-07,2.25e-07,0,0
3.5277e+06,1,2.255e-07,2.255e-07,0,0
3.5193e+06,1,2.26e-07,2.26e-07,0,0
3.5109e+06,1,2.265e-07,2.265e-07,0,0
3.5026e+06,1,2.27e-07,2.27e-07,0,0
3.4943e+06,1,2.275e-07,2.275e-07,0,0
3.486e+06,1,2.28e-07,2.28e-07,0,0
3.4778e+06,1,2.285e-07,2.285e-07,0,0
3.4696e+06,1,2.29e-07,2.29e-07,0,0
3.4614e+06,1,2.295e-07,2.295e-07,0,0
3.4533e+06,1,2.3e-07,2.3e-07,0,0
3.4451e+06,1,2.305e-07,2.305e-07,0,0
3.4371e+06,1,2.31e-07,2.31e-07,0,0
3.429e+06,1,2.315e-07,2.315e-07,0,0
3.421e+06,1,2.32e-07,2.32e-07,0,0
3.413e+06,1,2.325e-07,2.325e-07,0,0
3.405e+06,1,2.33e-07,2.33e-07,0,0
3.3971e+06,1,2.335e-07,2.335e-07,0,0
3.3892e+06,1,2.34e-07,2.34e-07,0,0
3.3813e+06,1,2.345e-07,2.345e-07,0,0
3.3735e+06,1,2.35e-07,2.35e-07,0,0
3.3657e+06,1,2.355e-07,2.355e-07,0,0
3.3579e+06,1,2.36e-07,2.36e-07,0,0
3.3502e+06,1,2.365e-07,2.365e-07,0,0
3.3425e+06,1,2.37e-07,2.37e-07,0,0
3.3348e+06,1,2.375e-07,2.375e-07,0,0
3.3271e+06,1,2.38e-07,2.38e-07,0,0
3.3195e+06,1,2.385e-07,2.385e-07,0,0
3.3119e+06,1,2.39e-07,2.39e-07,0,0
3.3043e+06,1,2.395e-07,2.395e-07,0,0
3.2968e+06,1,2.4e-07,2.4e-07,0,0
3.2893e+06,1,2.405e-07,2.405e-07,0,0
3.2818e+06,1,2.41e-07,2.41e-07,0,0
3.2743e+06,1,2.415e-07,2.415e-07,0,0
3.2669e+06,1,2.42e-07,2.42e-07,0,0
3.2595e+06,1,2.425e-07,2.425e-07,0,0
3.2521e+06,1,2.43e-07,2.43e-07,0,0
3.2448e+06,1,2.435e-07,2.435e-07,0,0
3.2375e+06,1,2.44e-07,2.44e-07,0,0
3.2302e+06,1,2.445e-07,2.445e-07,0,0
3.2229e+06,1,2.45e-07,2.45e-07,0,0
3.2157e+06,1,2.455e-07,2.455e-07,0,0
3.2085e+06,1,2.46e-07,2.46e-07,0,0
3.2013e+06,1,2.465e-07,2.465e-07,0,0
3.1941e+06,1,2.47e-07,2.47e-07,0,0
3.187e+06,1,2.475e-07,2.475e-07,0,0
3.1799e+06,1,2.48e-07,2.48e-07,0,0
